country_code,cellphone,TIENE_HERMANO,PAGO_MATRICULA,PAGO_CLASES,DEBE_MATRICULA,DEBE_CLASES,SALDO_NETO_REAL,SALDO_NETO_PALABRA,HISTORIAL_ASISTENCIA_Y_PAGOS,nombre_estudiante,CUANTAS_CLASES_LLEVAMOS,CUANTAS_CLASES_ASISTIO,CUANTAS_CLASES_ASISTIO_CON_PAGO,CUANTAS_CLASES_ASISTIO_SIN_PAGO,CUANTAS_CLASES_NO_HA_ASISTIDO,ASISTIO_SI_NO_A_LA_ULTIMA_CLASE,ASISTIO_ULTIMOS_3_MESES,COLEGIO,COLEGIO_SLUG,GRUPO,CORREO,CONTRASENA,all_phone_numbers
57,+57 3871140239,SI,26901,184000,23292,144000,43609,A_FAVOR:43609,2024-01-01: ASISTIO_SIN_PAGO|2024-01-08: 13000|2024-01-15: 8000|2024-01-22: ASISTIO_SIN_PAGO|2024-01-29: NO_ASISTIO|2024-02-05: NO_ASISTIO|2024-02-12: NO_ASISTIO|2024-02-19: ASISTIO_SIN_PAGO|2024-02-26: ASISTIO_SIN_PAGO|2024-03-04: ASISTIO_SIN_PAGO|2024-03-11: NO_ASISTIO|2024-03-18: ASISTIO_SIN_PAGO|2024-03-25: NO_ASISTIO|2024-04-01: 13000|2024-04-08: ASISTIO_SIN_PAGO|2024-04-15: 18000|2024-04-22: 8000|2024-04-29: 8000|2024-05-06: 13000|2024-05-13: ASISTIO_SIN_PAGO|2024-05-20: 13000|2024-05-27: 18000|2024-06-03: 13000|2024-06-10: 13000|2024-06-17: ASISTIO_SIN_PAGO|2024-06-24: ASISTIO_SIN_PAGO|2024-07-01: 8000|2024-07-08: 18000|2024-07-15: 13000|2024-07-22: NO_ASISTIO|2024-07-29: ASISTIO_SIN_PAGO|2024-08-05: NO_ASISTIO|2024-08-12: ASISTIO_SIN_PAGO|2024-08-19: ASISTIO_SIN_PAGO|2024-08-26: 18000|2024-09-02: ASISTIO_SIN_PAGO|2024-09-09: 8000|2024-09-16: ASISTIO_SIN_PAGO|2024-09-23: NO_ASISTIO|2024-09-30: 18000|2024-10-07: ASISTIO_SIN_PAGO|2024-10-14: 13000|2024-10-21: ASISTIO_SIN_PAGO|2024-10-28: 18000|2024-11-04: NO_ASISTIO|2024-11-11: NO_ASISTIO|2024-11-18: 13000|2024-11-25: ASISTIO_SIN_PAGO|2024-12-02: 18000|2024-12-09: 8000|2024-12-16: 13000,Pedro Lopez,51,41,23,18,10,NO,NO,Colegio San José,colegio-san-jose,Grupo 3,pedro.lopez614@mail.com,no1U2A7y,+57 3871140239;+57 3029256013
57,+57 3248473053,NO,2023,120000,10831,60000,51192,A_FAVOR:51192,2024-01-01: 15000|2024-01-08: 10000|2024-01-15: NO_ASISTIO|2024-01-22: ASISTIO_SIN_PAGO|2024-01-29: 15000|2024-02-05: ASISTIO_SIN_PAGO|2024-02-12: NO_ASISTIO|2024-02-19: 10000|2024-02-26: 15000|2024-03-04: ASISTIO_SIN_PAGO|2024-03-11: NO_ASISTIO|2024-03-18: NO_ASISTIO|2024-03-25: 15000|2024-04-01: NO_ASISTIO|2024-04-08: NO_ASISTIO|2024-04-15: NO_ASISTIO|2024-04-22: 20000|2024-04-29: 15000|2024-05-06: ASISTIO_SIN_PAGO|2024-05-13: ASISTIO_SIN_PAGO|2024-05-20: NO_ASISTIO|2024-05-27: NO_ASISTIO|2024-06-03: 20000|2024-06-10: 10000|2024-06-17: 20000|2024-06-24: ASISTIO_SIN_PAGO|2024-07-01: 15000,Carlos Martinez,27,18,12,6,9,SI,SI,Academia Futuro,academia-futuro,Grupo 4,carlos.martinez437@mail.com,PbVCtarD,+57 3248473053;+57 3338584369
57,+57 3060378352,NO,19733,130000,33415,130000,-13682,DEBE:13682,2024-01-01: ASISTIO_SIN_PAGO|2024-01-08: 15000|2024-01-15: 15000|2024-01-22: ASISTIO_SIN_PAGO|2024-01-29: 15000|2024-02-05: NO_ASISTIO|2024-02-12: 15000|2024-02-19: NO_ASISTIO|2024-02-26: NO_ASISTIO|2024-03-04: 20000|2024-03-11: ASISTIO_SIN_PAGO|2024-03-18: 10000|2024-03-25: ASISTIO_SIN_PAGO|2024-04-01: ASISTIO_SIN_PAGO|2024-04-08: ASISTIO_SIN_PAGO|2024-04-15: 20000|2024-04-22: NO_ASISTIO|2024-04-29: ASISTIO_SIN_PAGO|2024-05-06: ASISTIO_SIN_PAGO|2024-05-13: ASISTIO_SIN_PAGO|2024-05-20: ASISTIO_SIN_PAGO|2024-05-27: 20000|2024-06-03: NO_ASISTIO|2024-06-10: NO_ASISTIO|2024-06-17: ASISTIO_SIN_PAGO|2024-06-24: NO_ASISTIO|2024-07-01: 20000|2024-07-08: 20000|2024-07-15: ASISTIO_SIN_PAGO|2024-07-22: 15000|2024-07-29: 10000|2024-08-05: ASISTIO_SIN_PAGO|2024-08-12: 10000|2024-08-19: NO_ASISTIO|2024-08-26: NO_ASISTIO,Carlos Lopez,35,26,13,13,9,SI,SI,Colegio Nueva Era,colegio-nueva-era,Grupo 4,carlos.lopez42@mail.com,wcb0ulHA,+57 3060378352;+57 3016698988
57,+57 3832891471,SI,7628,104000,24789,136000,-49161,DEBE:49161,2024-01-01: 18000|2024-01-08: 13000|2024-01-15: NO_ASISTIO|2024-01-22: ASISTIO_SIN_PAGO|2024-01-29: NO_ASISTIO|2024-02-05: ASISTIO_SIN_PAGO|2024-02-12: ASISTIO_SIN_PAGO|2024-02-19: 8000|2024-02-26: 13000|2024-03-04: ASISTIO_SIN_PAGO|2024-03-11: ASISTIO_SIN_PAGO|2024-03-18: ASISTIO_SIN_PAGO|2024-03-25: NO_ASISTIO|2024-04-01: 18000|2024-04-08: ASISTIO_SIN_PAGO|2024-04-15: 13000|2024-04-22: ASISTIO_SIN_PAGO|2024-04-29: ASISTIO_SIN_PAGO|2024-05-06: ASISTIO_SIN_PAGO|2024-05-13: NO_ASISTIO|2024-05-20: ASISTIO_SIN_PAGO|2024-05-27: NO_ASISTIO|2024-06-03: ASISTIO_SIN_PAGO|2024-06-10: NO_ASISTIO|2024-06-17: 13000|2024-06-24: 8000|2024-07-01: 13000|2024-07-08: ASISTIO_SIN_PAGO|2024-07-15: ASISTIO_SIN_PAGO|2024-07-22: ASISTIO_SIN_PAGO|2024-07-29: ASISTIO_SIN_PAGO|2024-08-05: NO_ASISTIO|2024-08-12: 13000|2024-08-19: 13000|2024-08-26: 13000|2024-09-02: 13000|2024-09-09: NO_ASISTIO|2024-09-16: ASISTIO_SIN_PAGO,Maria Perez,38,30,13,17,8,SI,NO,Colegio Nueva Era,colegio-nueva-era,Grupo 1,maria.perez197@mail.com,HvXINh4b,+57 3832891471;+57 3957357533
57,+57 3277294562,NO,46276,180000,49257,250000,-72981,DEBE:72981,2024-01-01: ASISTIO_SIN_PAGO|2024-01-08: ASISTIO_SIN_PAGO|2024-01-15: 15000|2024-01-22: ASISTIO_SIN_PAGO|2024-01-29: ASISTIO_SIN_PAGO|2024-02-05: NO_ASISTIO|2024-02-12: ASISTIO_SIN_PAGO|2024-02-19: NO_ASISTIO|2024-02-26: ASISTIO_SIN_PAGO|2024-03-04: NO_ASISTIO|2024-03-11: 15000|2024-03-18: 10000|2024-03-25: ASISTIO_SIN_PAGO|2024-04-01: NO_ASISTIO|2024-04-08: 20000|2024-04-15: ASISTIO_SIN_PAGO|2024-04-22: ASISTIO_SIN_PAGO|2024-04-29: ASISTIO_SIN_PAGO|2024-05-06: 10000|2024-05-13: 15000|2024-05-20: ASISTIO_SIN_PAGO|2024-05-27: NO_ASISTIO|2024-06-03: ASISTIO_SIN_PAGO|2024-06-10: NO_ASISTIO|2024-06-17: ASISTIO_SIN_PAGO|2024-06-24: 20000|2024-07-01: 20000|2024-07-08: ASISTIO_SIN_PAGO|2024-07-15: NO_ASISTIO|2024-07-22: NO_ASISTIO|2024-07-29: ASISTIO_SIN_PAGO|2024-08-05: 10000|2024-08-12: NO_ASISTIO|2024-08-19: 15000|2024-08-26: 20000|2024-09-02: 10000|2024-09-09: ASISTIO_SIN_PAGO|2024-09-16: 15000|2024-09-23: ASISTIO_SIN_PAGO|2024-09-30: ASISTIO_SIN_PAGO|2024-10-07: NO_ASISTIO|2024-10-14: ASISTIO_SIN_PAGO|2024-10-21: 15000|2024-10-28: 15000|2024-11-04: NO_ASISTIO|2024-11-11: ASISTIO_SIN_PAGO|2024-11-18: 20000|2024-11-25: ASISTIO_SIN_PAGO|2024-12-02: NO_ASISTIO|2024-12-09: 10000|2024-12-16: 20000|2024-12-23: NO_ASISTIO|2024-12-30: ASISTIO_SIN_PAGO|2025-01-06: ASISTIO_SIN_PAGO|2025-01-13: ASISTIO_SIN_PAGO|2025-01-20: ASISTIO_SIN_PAGO,Pedro Garcia,56,43,18,25,13,SI,SI,Instituto Central,instituto-central,Grupo 4,pedro.garcia460@mail.com,af3zvrr5,+57 3277294562;+57 3805645421
57,+57 3733827353,SI,1994,88000,5692,96000,-11698,DEBE:11698,2024-01-01: 18000|2024-01-08: 8000|2024-01-15: 18000|2024-01-22: 8000|2024-01-29: ASISTIO_SIN_PAGO|2024-02-05: ASISTIO_SIN_PAGO|2024-02-12: NO_ASISTIO|2024-02-19: ASISTIO_SIN_PAGO|2024-02-26: ASISTIO_SIN_PAGO|2024-03-04: NO_ASISTIO|2024-03-11: ASISTIO_SIN_PAGO|2024-03-18: ASISTIO_SIN_PAGO|2024-03-25: NO_ASISTIO|2024-04-01: NO_ASISTIO|2024-04-08: 18000|2024-04-15: 8000|2024-04-22: ASISTIO_SIN_PAGO|2024-04-29: ASISTIO_SIN_PAGO|2024-05-06: ASISTIO_SIN_PAGO|2024-05-13: 18000|2024-05-20: 18000|2024-05-27: ASISTIO_SIN_PAGO|2024-06-03: NO_ASISTIO|2024-06-10: ASISTIO_SIN_PAGO|2024-06-17: ASISTIO_SIN_PAGO|2024-06-24: 8000|2024-07-01: NO_ASISTIO|2024-07-08: 8000|2024-07-15: 18000|2024-07-22: NO_ASISTIO,Laura Rodriguez,30,23,11,12,7,SI,SI,Colegio San José,colegio-san-jose,Grupo 2,laura.rodriguez456@mail.com,dsGnbw4w,+57 3733827353;+57 3118857491
57,+57 3963704822,NO,43146,90000,17535,110000,5611,A_FAVOR:5611,2024-01-01: ASISTIO_SIN_PAGO|2024-01-08: 20000|2024-01-15: NO_ASISTIO|2024-01-22: NO_ASISTIO|2024-01-29: NO_ASISTIO|2024-02-05: 15000|2024-02-12: 10000|2024-02-19: ASISTIO_SIN_PAGO|2024-02-26: NO_ASISTIO|2024-03-04: 10000|2024-03-11: NO_ASISTIO|2024-03-18: ASISTIO_SIN_PAGO|2024-03-25: 15000|2024-04-01: NO_ASISTIO|2024-04-08: ASISTIO_SIN_PAGO|2024-04-15: 10000|2024-04-22: ASISTIO_SIN_PAGO|2024-04-29: NO_ASISTIO|2024-05-06: ASISTIO_SIN_PAGO|2024-05-13: NO_ASISTIO|2024-05-20: 15000|2024-05-27: ASISTIO_SIN_PAGO|2024-06-03: NO_ASISTIO|2024-06-10: ASISTIO_SIN_PAGO|2024-06-17: 15000|2024-06-24: NO_ASISTIO|2024-07-01: NO_ASISTIO|2024-07-08: 20000|2024-07-15: NO_ASISTIO|2024-07-22: ASISTIO_SIN_PAGO|2024-07-29: ASISTIO_SIN_PAGO|2024-08-05: ASISTIO_SIN_PAGO,Sofia Lopez,32,20,9,11,12,SI,NO,Colegio San José,colegio-san-jose,Grupo 3,sofia.lopez219@mail.com,SMXtsKRz,+57 3963704822;+57 3531157100
57,+57 3514468277,NO,12366,240000,14327,140000,98039,A_FAVOR:98039,2024-01-01: ASISTIO_SIN_PAGO|2024-01-08: NO_ASISTIO|2024-01-15: 15000|2024-01-22: 20000|2024-01-29: 15000|2024-02-05: NO_ASISTIO|2024-02-12: 10000|2024-02-19: 15000|2024-02-26: NO_ASISTIO|2024-03-04: NO_ASISTIO|2024-03-11: 20000|2024-03-18: 20000|2024-03-25: 20000|2024-04-01: 15000|2024-04-08: ASISTIO_SIN_PAGO|2024-04-15: 15000|2024-04-22: NO_ASISTIO|2024-04-29: 10000|2024-05-06: 15000|2024-05-13: 15000|2024-05-20: NO_ASISTIO|2024-05-27: ASISTIO_SIN_PAGO|2024-06-03: ASISTIO_SIN_PAGO|2024-06-10: 20000|2024-06-17: NO_ASISTIO|2024-06-24: 10000|2024-07-01: NO_ASISTIO|2024-07-08: 15000|2024-07-15: NO_ASISTIO|2024-07-22: 20000|2024-07-29: ASISTIO_SIN_PAGO|2024-08-05: NO_ASISTIO|2024-08-12: NO_ASISTIO|2024-08-19: ASISTIO_SIN_PAGO|2024-08-26: NO_ASISTIO|2024-09-02: 15000|2024-09-09: ASISTIO_SIN_PAGO|2024-09-16: NO_ASISTIO|2024-09-23: NO_ASISTIO|2024-09-30: 15000|2024-10-07: ASISTIO_SIN_PAGO|2024-10-14: ASISTIO_SIN_PAGO|2024-10-21: ASISTIO_SIN_PAGO|2024-10-28: ASISTIO_SIN_PAGO|2024-11-04: ASISTIO_SIN_PAGO|2024-11-11: 20000|2024-11-18: NO_ASISTIO|2024-11-25: 15000|2024-12-02: NO_ASISTIO|2024-12-09: ASISTIO_SIN_PAGO|2024-12-16: ASISTIO_SIN_PAGO|2024-12-23: NO_ASISTIO|2024-12-30: NO_ASISTIO|2025-01-06: NO_ASISTIO|2025-01-13: 20000|2025-01-20: 15000|2025-01-27: 10000,Andres Garcia,57,38,24,14,19,SI,SI,Instituto Central,instituto-central,Grupo 2,andres.garcia536@mail.com,IoSVMTxo,+57 3514468277;+57 3166484950
57,+57 3708646302,SI,8041,96000,27946,160000,-83905,DEBE:83905,2024-01-01: NO_ASISTIO|2024-01-08: NO_ASISTIO|2024-01-15: NO_ASISTIO|2024-01-22: 8000|2024-01-29: NO_ASISTIO|2024-02-05: NO_ASISTIO|2024-02-12: 18000|2024-02-19: NO_ASISTIO|2024-02-26: ASISTIO_SIN_PAGO|2024-03-04: 18000|2024-03-11: ASISTIO_SIN_PAGO|2024-03-18: ASISTIO_SIN_PAGO|2024-03-25: NO_ASISTIO|2024-04-01: NO_ASISTIO|2024-04-08: ASISTIO_SIN_PAGO|2024-04-15: 18000|2024-04-22: ASISTIO_SIN_PAGO|2024-04-29: 13000|2024-05-06: NO_ASISTIO|2024-05-13: 13000|2024-05-20: ASISTIO_SIN_PAGO|2024-05-27: ASISTIO_SIN_PAGO|2024-06-03: ASISTIO_SIN_PAGO|2024-06-10: 13000|2024-06-17: ASISTIO_SIN_PAGO|2024-06-24: ASISTIO_SIN_PAGO|2024-07-01: ASISTIO_SIN_PAGO|2024-07-08: NO_ASISTIO|2024-07-15: 18000|2024-07-22: ASISTIO_SIN_PAGO|2024-07-29: ASISTIO_SIN_PAGO|2024-08-05: NO_ASISTIO|2024-08-12: 18000|2024-08-19: ASISTIO_SIN_PAGO|2024-08-26: ASISTIO_SIN_PAGO|2024-09-02: NO_ASISTIO|2024-09-09: ASISTIO_SIN_PAGO|2024-09-16: NO_ASISTIO|2024-09-23: NO_ASISTIO|2024-09-30: ASISTIO_SIN_PAGO|2024-10-07: 8000|2024-10-14: ASISTIO_SIN_PAGO|2024-10-21: NO_ASISTIO|2024-10-28: ASISTIO_SIN_PAGO|2024-11-04: 13000|2024-11-11: NO_ASISTIO|2024-11-18: 8000|2024-11-25: NO_ASISTIO|2024-12-02: ASISTIO_SIN_PAGO,Sofia Martinez,49,32,12,20,17,SI,NO,Colegio San José,colegio-san-jose,Grupo 1,sofia.martinez804@mail.com,I7ILxUeA,+57 3708646302;+57 3764798276
57,+57 3436566223,SI,12155,40000,18253,88000,-54098,DEBE:54098,2024-01-01: ASISTIO_SIN_PAGO|2024-01-08: 13000|2024-01-15: ASISTIO_SIN_PAGO|2024-01-22: 18000|2024-01-29: 18000|2024-02-05: NO_ASISTIO|2024-02-12: NO_ASISTIO|2024-02-19: 13000|2024-02-26: ASISTIO_SIN_PAGO|2024-03-04: NO_ASISTIO|2024-03-11: ASISTIO_SIN_PAGO|2024-03-18: ASISTIO_SIN_PAGO|2024-03-25: NO_ASISTIO|2024-04-01: NO_ASISTIO|2024-04-08: NO_ASISTIO|2024-04-15: NO_ASISTIO|2024-04-22: ASISTIO_SIN_PAGO|2024-04-29: ASISTIO_SIN_PAGO|2024-05-06: 18000|2024-05-13: NO_ASISTIO|2024-05-20: NO_ASISTIO|2024-05-27: ASISTIO_SIN_PAGO|2024-06-03: ASISTIO_SIN_PAGO|2024-06-10: NO_ASISTIO|2024-06-17: NO_ASISTIO|2024-06-24: NO_ASISTIO|2024-07-01: ASISTIO_SIN_PAGO|2024-07-08: NO_ASISTIO|2024-07-15: ASISTIO_SIN_PAGO,Andres Garcia,29,16,5,11,13,NO,NO,Colegio San José,colegio-san-jose,Grupo 1,andres.garcia146@mail.com,gUijYuWQ,+57 3436566223;+57 3648403267
